timestamp,level,message
2025-12-17T03:04:53.852339,normal,Rockfall risk is NORMAL (34.1%)
2025-12-17T03:04:54.131561,normal,Rockfall risk is NORMAL (34.1%)
2025-12-17T03:04:57.972604,normal,Rockfall risk is NORMAL (34.1%)
2025-12-17T03:04:58.825758,normal,Rockfall risk is NORMAL (34.1%)
2025-12-17T03:05:03.753147,normal,Rockfall risk is NORMAL (33.0%)
2025-12-17T03:05:04.406565,normal,Rockfall risk is NORMAL (30.9%)
2025-12-17T03:05:09.329717,normal,Rockfall risk is NORMAL (34.4%)
2025-12-17T03:05:14.333218,normal,Rockfall risk is NORMAL (27.9%)
2025-12-17T03:05:19.311991,normal,Rockfall risk is NORMAL (28.4%)
2025-12-17T03:05:24.334530,normal,Rockfall risk is NORMAL (32.4%)
2025-12-17T03:05:29.431485,normal,Rockfall risk is NORMAL (29.4%)
2025-12-17T03:05:34.433799,normal,Rockfall risk is NORMAL (34.4%)
2025-12-17T03:05:39.429834,normal,Rockfall risk is NORMAL (28.5%)
2025-12-17T03:05:44.319601,normal,Rockfall risk is NORMAL (26.9%)
2025-12-17T03:05:49.436066,normal,Rockfall risk is NORMAL (33.4%)
2025-12-17T03:05:54.440840,normal,Rockfall risk is NORMAL (25.1%)
2025-12-17T03:05:59.446869,normal,Rockfall risk is NORMAL (26.3%)
2025-12-17T03:06:04.469663,normal,Rockfall risk is NORMAL (26.9%)
2025-12-17T03:06:09.455703,normal,Rockfall risk is NORMAL (31.5%)
2025-12-17T03:06:14.453482,normal,Rockfall risk is NORMAL (31.5%)
2025-12-17T03:06:19.468773,normal,Rockfall risk is NORMAL (31.3%)
2025-12-17T03:06:24.459467,normal,Rockfall risk is NORMAL (31.3%)
2025-12-17T03:06:29.455058,normal,Rockfall risk is NORMAL (25.9%)
2025-12-17T03:06:34.459775,normal,Rockfall risk is NORMAL (32.3%)
2025-12-17T03:06:39.474630,normal,Rockfall risk is NORMAL (29.3%)
