Timestamp,Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Inclinometer (deg),Extensometer (mm),Piezometer (kPa),Event Type
2025-11-11 22:41:41,0.152,0.063,9.862,25.03,2.13,148.5,Normal
2025-11-11 23:11:41,0.323,0.054,9.738,27.06,1.31,122.1,Normal
2025-11-11 23:41:41,0.133,0.264,9.888,16.57,0.65,114.4,Normal
2025-11-12 00:11:41,0.152,0.265,9.807,11.19,1.38,149.5,Normal
2025-11-12 00:41:41,0.344,0.391,9.768,17.65,2.78,98.3,Normal
2025-11-12 01:11:41,0.399,0.106,9.857,19.89,1.66,133.9,Normal
2025-11-12 01:41:41,0.407,0.117,9.93,13.64,0.23,150.2,Normal
2025-11-12 02:11:41,0.304,0.394,9.765,28.68,2.99,148.4,Normal
2025-11-12 02:41:41,0.169,0.276,9.711,30.9,2.99,149.1,Normal
2025-11-12 03:11:41,0.358,0.275,9.725,22.39,3.11,147.9,Normal
2025-11-12 03:41:41,0.203,0.282,9.872,10.8,2.68,108.3,Normal
2025-11-12 04:11:41,0.351,0.189,9.948,28.84,2.05,126.3,Normal
2025-11-12 04:41:41,0.2,0.071,9.843,26.96,3.13,152.5,Normal
2025-11-12 05:11:41,0.118,0.198,9.729,19.99,0.34,123.2,Normal
2025-11-12 05:41:41,0.131,0.227,9.703,16.08,2.12,123.6,Normal
2025-11-12 06:11:41,0.445,0.21,9.933,29.06,0.96,118.6,Normal
2025-11-12 06:41:41,0.427,0.204,9.836,18.43,1.35,120.7,Normal
2025-11-12 07:11:41,0.319,0.225,9.824,10.3,2.13,128.7,Normal
2025-11-12 07:41:41,0.194,0.333,9.74,19.2,3.03,115.3,Normal
2025-11-12 08:11:41,0.358,0.246,9.763,14.81,1.21,133.1,Normal
2025-11-12 08:41:41,0.18,0.166,9.718,25.87,2.8,151.4,Normal
2025-11-12 09:11:41,0.347,0.446,9.901,19.49,2.85,119.4,Normal
2025-11-12 09:41:41,0.154,0.084,9.883,18.33,0.58,100.8,Normal
2025-11-12 10:11:41,0.216,0.235,9.751,20.65,3.5,109.3,Normal
2025-11-12 10:41:41,0.066,0.271,9.797,32.22,1.69,115.1,Normal
2025-11-12 11:11:41,0.33,0.106,9.735,32.3,3.89,109.8,Normal
2025-11-12 11:41:41,0.142,0.36,9.719,34.86,1.9,125.9,Normal
2025-11-12 12:11:41,0.204,0.321,9.775,19.04,2.42,140.4,Normal
2025-11-12 12:41:41,0.243,0.059,9.739,17.02,2.15,153.6,Normal
2025-11-12 13:11:41,0.263,0.258,9.774,28.03,3.72,145.6,Normal
2025-11-12 13:41:41,0.201,0.269,9.713,23.31,1.63,147.7,Normal
